id,difficulty,flesch_reading_ease,polysyllable_count,coleman_liau_index,freqlemfilms2_mean,freqlemfilms2_median,freqlemfilms2_max,freqlemfilms2_min,freqlemfilms2_25%,freqlemfilms2_75%,freqlemlivres_mean,freqlemlivres_median,freqlemlivres_max,freqlemlivres_min,freqlemlivres_25%,freqlemlivres_75%,freqfilms2_mean,freqfilms2_median,freqfilms2_max,freqfilms2_min,freqfilms2_25%,freqfilms2_75%,nblettres_mean,nblettres_median,nblettres_max,nblettres_min,nblettres_25%,nblettres_75%,nbsyll_mean,nbsyll_median,nbsyll_max,nbsyll_min,nbsyll_25%,nbsyll_75%
49,A2,71.99,2,11.08,5862.526666666666,681.89,25220.86,5.72,58.69500000000001,9854.235,7607.7626666666665,702.23,38928.92,3.92,68.55,11712.869999999999,4587.720666666665,395.71,25220.86,3.2,31.450000000000003,5059.08,4.2,4.0,10.0,1.0,2.0,6.0,1.5333333333333334,1.0,3.0,1.0,1.0,2.0
50,A1,130.36,0,-6.26,4577.88,64.31,13652.76,16.57,40.44,6858.535,6106.783333333334,6.49,18310.95,2.91,4.7,9158.720000000001,4576.97,64.31,13652.76,13.84,39.075,6858.535,2.0,2.0,3.0,1.0,1.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0
51,B2,55.49,6,12.02,5854.535909090909,267.58500000000004,25220.86,2.71,36.295,11119.7625,6270.260454545453,457.33000000000004,38928.92,1.55,42.9375,9389.762499999999,4725.461363636363,128.63,25220.86,0.38,30.4,6896.64,4.909090909090909,3.5,15.0,1.0,2.0,7.0,1.8636363636363635,1.0,5.0,1.0,1.0,3.0
52,A1,66.4,1,13.01,3762.8300000000004,773.6,14946.48,30.96,132.4875,4197.385,5610.129,665.745,23633.92,3.92,159.39249999999998,7869.0025000000005,3695.904,558.475,14946.48,29.57,65.72,4197.385,3.7,3.0,8.0,1.0,2.0,4.75,1.3,1.0,2.0,1.0,1.0,1.75
53,A1,128.33,0,-0.85,7718.553999999999,1061.92,32236.5,116.11,657.71,4520.53,4760.6759999999995,1341.76,15085.47,119.32,265.34,6991.49,5050.956,657.71,19417.69,23.63,635.22,4520.53,3.6,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
54,C2,45.34,7,14.57,4456.413055555556,618.585,25220.86,5.75,70.0325,7285.875,5990.446388888889,1461.625,38928.92,3.92,75.3725,8946.42,4094.6413888888887,257.635,25220.86,0.26,16.7675,6311.42,5.166666666666667,4.5,13.0,1.0,2.75,7.0,1.6666666666666667,1.0,5.0,1.0,1.0,2.0
55,B1,83.66,3,8.53,5315.2525,1453.55,25220.86,4.67,21.3575,8134.2575,7594.649,1730.34,38928.92,1.55,17.115,9587.97,4965.7119999999995,1400.76,25220.86,1.11,20.9775,7907.85,4.25,3.5,10.0,1.0,2.0,6.25,1.45,1.0,3.0,1.0,1.0,1.25
56,B2,49.91,5,15.54,3785.1276470588236,1335.49,14661.76,3.59,65.41,4062.45,3138.427058823529,933.99,19209.05,12.43,37.03,2537.03,3702.2247058823527,1222.51,14661.76,1.49,26.85,4062.45,5.705882352941177,4.0,12.0,1.0,3.0,10.0,1.8823529411764706,1.0,4.0,1.0,1.0,3.0
57,C2,64.37,3,10.82,7748.12,4100.9,32236.5,13.52,124.2,13572.4,6225.211111111111,3315.95,23633.92,44.59,189.93,6991.49,2569.2011111111115,55.88,14946.48,6.95,13.52,3330.88,5.111111111111111,4.0,9.0,2.0,3.0,8.0,1.7777777777777777,1.0,3.0,1.0,1.0,3.0
58,A2,92.8,1,2.65,7020.688181818183,3737.75,25220.86,4.75,602.415,11119.58,8025.2645454545445,4838.38,38928.92,6.42,477.43,9061.654999999999,5849.071818181817,3737.75,25220.86,4.71,580.645,7468.655,3.6363636363636362,2.0,9.0,1.0,2.0,5.0,1.3636363636363635,1.0,3.0,1.0,1.0,1.5
59,C1,66.91,7,15.14,4299.579523809523,269.55,32236.5,0.34,25.215,5562.0225,5751.258095238095,358.075,38928.92,0.2,30.325,7880.0525,3577.333095238095,260.965,25220.86,0.05,13.2525,4818.725,5.071428571428571,4.5,12.0,1.0,3.0,7.0,1.619047619047619,1.0,4.0,1.0,1.0,2.0
60,A2,74.78,1,10.74,5229.155714285715,2346.9,25983.2,54.68,398.45,3711.205,3298.7642857142855,1514.53,10862.77,2.97,373.92,4981.62,4958.751428571429,944.81,25983.2,54.68,361.53999999999996,3502.745,4.0,4.0,8.0,1.0,2.0,5.5,1.2857142857142858,1.0,2.0,1.0,1.0,1.5
61,B1,98.89,0,1.48,4814.416,1902.27,12909.08,10.82,316.25,8933.66,5217.246,2320.68,20879.73,32.64,375.54,2477.64,4775.462,1902.27,12909.08,2.66,129.64,8933.66,4.0,5.0,6.0,2.0,2.0,5.0,1.4,1.0,2.0,1.0,1.0,2.0
62,C1,33.42,8,12.72,5828.066181818181,894.78,32236.5,0.03,21.555,8247.125,6358.591090909091,915.27,38928.92,0.0,21.285,10106.45,5021.4259999999995,349.74,25220.86,0.0,9.235,8247.125,4.927272727272728,4.0,13.0,1.0,3.0,7.0,1.6,1.0,5.0,1.0,1.0,2.0
63,C1,49.15,7,15.73,4629.634230769231,309.87,18559.22,0.09,13.482500000000002,11042.677500000002,5068.378076923076,310.44,23633.92,1.42,20.4225,9171.787499999999,2947.1019230769234,218.435,14946.48,0.09,9.3825,4532.867499999999,5.115384615384615,4.5,11.0,1.0,2.0,8.0,1.8846153846153846,1.5,4.0,1.0,1.0,2.75
64,B1,42.55,6,17.22,6212.601875,141.76,25220.86,0.01,13.775000000000002,7556.5425000000005,8910.50375,130.24,38928.92,0.0,2.97,7578.045,5921.158125,93.545,25220.86,0.01,12.5775,6191.8575,4.5,4.0,11.0,1.0,2.0,7.0,1.8125,1.0,4.0,1.0,1.0,2.25
65,A2,126.3,0,0.76,7279.8325,7016.29,14661.76,22.07,3705.5499999999997,10721.8475,4790.8875,2906.755,20879.73,1.55,2015.3575,3819.21,5300.94625,3033.42,14661.76,22.07,2141.93,7141.595,2.75,2.5,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
66,C2,29.6,3,20.95,2863.9950000000003,1200.77,8720.38,0.73,23.072499999999998,5123.3025,4796.586666666667,1745.775,14662.3,0.0,16.112499999999997,8826.0275,2852.3216666666667,1166.08,8720.38,0.07,5.7275,5123.3025,6.166666666666667,6.5,10.0,3.0,3.5,8.0,1.8333333333333333,1.5,3.0,1.0,1.0,2.75
67,C1,64.63,3,16.88,3725.4856250000003,875.8050000000001,25220.86,0.21,29.0625,4589.6025,4721.33875,699.9,38928.92,0.47,21.1175,4958.9025,3463.9,354.76,25220.86,0.0,6.92,4012.0875,5.5625,4.5,14.0,1.0,3.0,7.5,1.8125,1.0,4.0,1.0,1.0,2.25
68,C1,78.08,2,10.54,6644.125,3291.5550000000003,32236.5,13.2,280.1625,7962.705,6280.669,2149.495,19209.05,2.84,233.935,13179.8675,3107.8019999999997,1134.14,12190.4,1.99,199.7175,4629.5175,4.6,4.0,11.0,1.0,3.0,4.0,1.6,1.0,4.0,1.0,1.0,1.75
69,B1,96.1,1,6.08,1784.4353333333331,1374.43,8720.38,0.61,68.89999999999999,1874.67,1879.8853333333332,933.99,14662.3,1.42,99.93,1540.41,1698.0619999999997,1374.43,8720.38,0.5,12.875,1874.67,3.8,4.0,8.0,1.0,2.0,4.5,1.2666666666666666,1.0,3.0,1.0,1.0,1.0
70,A1,-15.84,1,21.6,5083.683333333333,558.33,14661.76,30.96,294.64500000000004,7610.045,927.8166666666667,241.35,2537.03,5.07,123.21,1389.19,5083.68,558.33,14661.76,30.95,294.64000000000004,7610.045,3.3333333333333335,2.0,7.0,1.0,1.5,4.5,1.3333333333333333,1.0,2.0,1.0,1.0,1.5
71,B2,39.76,6,16.31,5617.469230769231,295.175,25220.86,2.28,21.8325,12216.532500000001,7868.586923076923,493.55,38928.92,0.95,7.515,11997.599999999999,4889.213846153846,202.34,25220.86,1.96,10.2225,7353.307500000001,4.230769230769231,3.5,10.0,1.0,2.0,5.75,1.6153846153846154,1.0,4.0,1.0,1.0,2.0
72,C2,25.81,13,11.34,3870.78487012987,502.3,25220.86,0.01,50.2475,4520.53,5336.407987012987,844.865,38928.92,1.55,58.817499999999995,6964.157499999999,3517.9772077922075,271.505,25220.86,0.0,19.2725,4520.53,4.3311688311688314,4.0,13.0,1.0,2.0,6.0,1.4285714285714286,1.0,5.0,1.0,1.0,2.0
73,C1,41.79,7,15.03,6623.080434782608,1402.33,32236.5,1.41,41.065,13280.92,7578.522608695651,3105.41,38928.92,0.81,32.77,13943.14,5520.8717391304335,1402.33,25220.86,0.18,25.66,9993.815,4.782608695652174,4.0,11.0,1.0,2.0,7.0,1.7826086956521738,1.0,4.0,1.0,1.0,2.5
74,C2,43.57,9,14.17,4406.805777777778,265.83,25220.86,0.05,22.89,5516.52,6276.257777777779,375.14,38928.92,0.0,16.35,6882.16,4176.303777777778,249.7,25220.86,0.03,11.39,4772.12,5.111111111111111,5.0,15.0,1.0,2.0,7.0,1.6888888888888889,1.0,4.0,1.0,1.0,2.0
75,C2,66.66,4,15.77,2585.2949999999996,881.695,8720.38,0.78,31.9025,4982.9625,3484.537142857143,1281.6200000000001,14662.3,1.42,3.2075,6277.55,2177.74,66.47,8720.38,0.78,3.4699999999999998,4394.7,4.642857142857143,3.5,9.0,1.0,2.0,7.75,1.6428571428571428,1.0,3.0,1.0,1.0,2.0
76,B1,84.17,1,3.8,12514.548,13589.7,25220.86,2.22,8813.48,14946.48,14280.73,5328.99,38928.92,4.66,3507.16,23633.92,10757.282,13589.7,25220.86,1.74,27.63,14946.48,4.4,4.0,9.0,2.0,2.0,5.0,1.6,1.0,3.0,1.0,1.0,2.0
77,A1,103.2,1,0.65,9373.511428571428,4346.55,25220.86,0.0,2132.51,15891.075,10843.561428571427,5014.53,38928.92,0.27,1664.1550000000002,14316.45,7629.467142857143,4346.55,25220.86,0.0,2132.51,9786.92,3.7142857142857144,2.0,12.0,1.0,1.5,4.0,1.4285714285714286,1.0,3.0,1.0,1.0,1.5
78,B1,72.75,2,6.7,6405.101111111111,842.18,25220.86,78.26,295.35,8720.38,7911.307777777778,702.23,38928.92,3.92,504.26,12800.81,4447.637777777778,842.18,25220.86,51.43,295.35,3075.07,3.3333333333333335,3.0,7.0,1.0,3.0,4.0,1.3333333333333333,1.0,3.0,1.0,1.0,1.0
79,A2,115.89,0,0.38,5556.032999999999,3710.5649999999996,18559.22,283.82,891.985,7953.7275,4757.616,1715.5749999999998,13550.68,395.0,695.7125000000001,9178.2925,4172.494,3710.5649999999996,12087.62,42.5,375.2675,6277.11,3.3,3.5,5.0,1.0,2.25,4.0,1.1,1.0,2.0,1.0,1.0,1.0
