,sentence,difficulty,flesch_reading_ease,polysyllable_count,coleman_liau_index,freqlemfilms2_mean,freqlemfilms2_median,freqlemfilms2_max,freqlemfilms2_min,freqlemfilms2_25%,freqlemfilms2_75%,freqlemlivres_mean,freqlemlivres_median,freqlemlivres_max,freqlemlivres_min,freqlemlivres_25%,freqlemlivres_75%,freqfilms2_mean,freqfilms2_median,freqfilms2_max,freqfilms2_min,freqfilms2_25%,freqfilms2_75%,nblettres_mean,nblettres_median,nblettres_max,nblettres_min,nblettres_25%,nblettres_75%,nbsyll_mean,nbsyll_median,nbsyll_max,nbsyll_min,nbsyll_25%,nbsyll_75%
13,J'habite une belle ville dans le nord de la France.,A1,115.89,0,4.44,7496.469999999999,4658.59,25220.86,50.38,295.14,13652.76,11089.565555555555,8296.08,38928.92,2.91,352.97,18310.95,7451.476666666666,4658.59,25220.86,50.38,277.98,13652.76,3.111111111111111,3.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
14,"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",B2,66.66,3,13.04,3548.056875,835.65,25220.86,1.9,50.2825,3523.1025,4915.093125,1339.02,38928.92,6.22,123.78,4521.8275,3368.1487500000003,745.245,25220.86,0.79,23.835,2403.9975,5.0,4.5,12.0,2.0,3.0,6.25,1.5625,1.0,4.0,1.0,1.0,2.0
15,"Ma timidité me quittait dès que je m'éloignais d'Ellénore ; je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé.",C2,53.72,6,13.12,5664.998333333333,818.815,25983.2,1.75,66.10249999999999,4991.8425,4867.559722222223,870.9449999999999,38928.92,2.97,93.9,4314.17,5579.013888888888,647.825,25983.2,0.4,18.552500000000002,4991.8425,4.416666666666667,3.0,12.0,1.0,2.0,7.0,1.5277777777777777,1.0,4.0,1.0,1.0,2.0
16,Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2,73.0,4,12.87,6392.491250000001,949.255,32236.5,1.98,67.9025,9587.884999999998,5868.191875,1052.195,23633.92,2.97,31.822499999999998,11812.6525,5450.865624999999,307.385,25983.2,0.94,55.2425,9587.884999999998,4.625,3.0,12.0,1.0,2.0,7.25,1.5625,1.0,4.0,1.0,1.0,2.0
17,"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A1,110.82,0,3.76,6791.153571428573,3666.7349999999997,25983.2,3.49,699.865,7478.1,4779.986428571428,2317.065,18310.95,0.95,619.395,8174.8825,5972.297142857142,983.525,25983.2,3.49,561.62,5499.62,3.642857142857143,3.5,8.0,2.0,2.0,4.75,1.0714285714285714,1.0,2.0,1.0,1.0,1.0
18,"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2,58.54,4,11.49,5788.7186956521755,757.68,25220.86,7.37,59.265,10510.64,7501.235652173912,1667.16,38928.92,0.61,77.70500000000001,9896.15,5203.56304347826,757.68,25220.86,3.27,31.325,7642.285,4.304347826086956,3.0,12.0,1.0,2.0,6.5,1.4782608695652173,1.0,4.0,1.0,1.0,2.0
19,Je ne fais pas grand-chose à la maison.,A2,103.2,0,2.1,11714.181111111111,12190.4,25983.2,605.75,1773.62,18188.15,9394.377777777778,8795.14,23633.92,575.34,1244.66,13841.89,9809.615555555556,12190.4,25983.2,338.27,1321.79,14946.48,3.3333333333333335,3.0,6.0,1.0,2.0,5.0,1.1111111111111112,1.0,2.0,1.0,1.0,1.0
20,Elle ajoute qu'une interdiction totale est impossible à gérer.,B2,65.39,2,14.47,5465.347777777777,38.88,32236.5,3.11,24.59,4520.53,4628.879999999999,96.01,19209.05,1.55,6.76,6991.49,4035.133333333333,22.07,19417.69,3.02,15.26,4520.53,5.444444444444445,5.0,12.0,1.0,3.0,6.0,1.8888888888888888,2.0,4.0,1.0,1.0,2.0
21,"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",C2,59.81,4,10.34,5169.005862068965,1003.44,25220.86,0.05,71.78,12909.08,7053.308620689653,2224.12,38928.92,1.96,92.57,8795.14,5157.3099999999995,1003.44,25220.86,0.0,2.78,12909.08,4.310344827586207,4.0,12.0,1.0,2.0,6.0,1.4482758620689655,1.0,4.0,1.0,1.0,2.0
22,"Comme le signale l'expression ""lingua franca"", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel",C2,55.49,4,15.61,5598.297083333334,1212.635,32236.5,1.07,41.89,12535.9,5318.285833333332,900.7449999999999,23633.92,3.92,69.1575,8020.07,3217.34625,845.665,14946.48,1.02,33.575,3551.605,5.166666666666667,5.0,14.0,1.0,2.0,7.25,1.75,1.0,5.0,1.0,1.0,2.0
23,Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1,99.14,1,3.58,9230.163333333332,2480.22,25983.2,3.49,63.355000000000004,19213.07,6941.714166666666,2052.975,38928.92,0.95,51.54,9312.0475,7341.2525,763.9649999999999,25983.2,3.49,55.97,14564.810000000001,3.4166666666666665,2.5,9.0,1.0,2.0,4.25,1.3333333333333333,1.0,4.0,1.0,1.0,1.0
24,C'est peut-être ça que vous cherchez ?,A2,105.23,0,7.18,5849.09142857143,5524.47,13589.7,8.21,2406.68,8503.95,2702.2985714285714,2659.8,6501.82,4.73,1463.315,3411.555,3977.1614285714286,1209.64,13589.7,8.21,384.02000000000004,6132.27,3.7142857142857144,4.0,8.0,1.0,2.5,4.0,1.1428571428571428,1.0,2.0,1.0,1.0,1.0
25,"Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?",C2,72.24,2,12.25,3095.013043478261,1106.8,25220.86,0.24,169.365,4436.1849999999995,3709.576956521739,915.27,38928.92,0.41,328.21000000000004,3137.265,2723.0108695652175,243.56,25220.86,0.01,68.51,3975.765,5.0,4.0,10.0,2.0,3.0,6.5,1.4782608695652173,1.0,3.0,1.0,1.0,2.0
26,Je consulte d'habitude ma messagerie. Et puis je prends un café.,A1,91.02,2,5.78,7428.887272727272,1913.83,25983.2,1.05,109.12,12498.35,5485.738181818182,1466.42,20879.73,0.68,106.76,10862.77,7292.1054545454535,431.5,25983.2,1.02,106.12,12498.35,3.909090909090909,2.0,10.0,1.0,2.0,5.0,1.4545454545454546,1.0,4.0,1.0,1.0,1.5
27,Nous sommes en train de dîner.,A2,112.59,0,2.37,11377.148333333333,5230.9,32236.5,88.45,1384.49,20338.065000000002,11162.005,6300.205,38928.92,68.58,1183.4475,13497.244999999999,6050.935,2532.97,25220.86,84.73,256.755,5460.29,4.0,4.5,6.0,2.0,2.5,5.0,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
28,"En fait, je trouve que l'éducation est une bonne chose.",B1,101.17,1,6.18,8947.342,4895.29,32236.5,78.26,1609.2350000000001,8587.0725,5573.744000000001,4322.469999999999,15085.47,3.92,993.7850000000001,9374.119999999999,6734.471999999999,3041.435,25983.2,78.26,764.645,7353.307500000001,3.4,3.0,6.0,1.0,2.25,4.75,1.0,1.0,1.0,1.0,1.0,1.0
29,As-tu besoin de quelque chose?,A1,98.89,0,6.12,10311.885,8217.69,25220.86,771.24,1106.8625,17584.855,9358.131666666666,1797.335,38928.92,266.62,682.7375,10234.865,7498.535,1732.97,25220.86,758.04,993.905,11532.3575,4.0,3.5,7.0,2.0,2.0,5.75,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
30,"Perpétuel clandestin, c'est muni d'un faux titre de séjour, photocopie de la carte de résident d'un copain-complice, qu'il avait ensuite sillonné l'Hexagone, au bon vouloir d'employeurs peu scrupuleux.",C1,53.46,5,16.6,4190.192758620689,54.68,25220.86,0.76,6.78,1554.44,5610.582413793104,43.58,38928.92,0.88,3.92,1023.38,3353.3962068965516,54.68,25220.86,0.48,5.16,395.71,4.655172413793103,4.0,10.0,1.0,2.0,7.0,1.6896551724137931,1.0,4.0,1.0,1.0,2.0
31,"Le mariage mixte apparaît comme le lieu privilégié ou les cultures s'affrontent, dialoguent et se fondent.",B2,80.36,2,14.32,3508.428125,174.695,13652.76,1.01,20.98,4290.4225,5325.605,213.415,20879.73,2.64,25.015,8606.4025,3501.766875,155.85000000000002,13652.76,0.0,3.475,4290.4225,4.875,4.5,10.0,1.0,2.0,7.25,1.5,1.0,4.0,1.0,1.0,2.0
32,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche",B2,80.36,2,12.87,2946.805,302.455,13652.76,1.59,19.535,4592.6175,3969.0250000000005,454.09,18310.95,3.51,83.46,7942.6,2916.8849999999993,117.655,13652.76,0.12,10.6425,4592.6175,5.357142857142857,5.0,11.0,2.0,3.25,7.75,1.5714285714285714,1.0,3.0,1.0,1.0,2.0
33,"La chronologie antique ne prend sens que sur un large pourtour de la Méditerranée, de même que ce découpage spatial n'est pertinent comme entité géographique que durant cette période pendant laquelle la mer intérieure n'est pas vécue comme une limite.",C2,41.28,7,13.47,4661.401,411.405,25220.86,0.04,10.622499999999999,4380.45,5667.63725,455.24,38928.92,0.95,14.424999999999999,3902.1075,4323.0555,148.29500000000002,25220.86,0.04,6.5375,3802.9350000000004,5.05,5.0,12.0,1.0,2.75,7.0,1.675,1.0,5.0,1.0,1.0,2.0
34,"En voici un des moins obscurs : ""Plus nous devenons maîtres de la biosphère, plus nous en devenons dépendants ; plus nous la dégradons, plus nous dégradons nos vies5.",C2,69.2,5,11.38,5094.766666666666,4062.45,25220.86,0.08,438.57,5689.68,6918.6954166666665,3867.84,38928.92,0.0,533.51,8732.57,5052.903749999999,4062.45,25220.86,0.08,210.60999999999999,5689.68,4.541666666666667,4.0,10.0,2.0,2.75,5.5,1.375,1.0,3.0,1.0,1.0,1.25
35,"C'est le début de troubles qui se poursuivent et s'étendent au reste du territoire tout au long du mois de septembre les fameuses ""Journées de septembre"" amplifiés le refus de Guillaume 1er de considérer les revendications des insurgés",B2,58.03,5,12.95,5874.215945945946,1003.56,25220.86,0.0,18.67,8720.38,9046.649189189187,793.78,38928.92,0.2,43.58,14662.3,5843.034594594595,320.44,25220.86,0.0,9.02,8720.38,4.864864864864865,3.0,14.0,1.0,2.0,8.0,1.5675675675675675,1.0,5.0,1.0,1.0,2.0
36,Les filles s'étaient fait des colliers en fruits rouges qui ressemblaient à des perles.,B2,97.11,1,11.94,3874.516428571428,3179.04,12190.4,10.57,55.32000000000001,6055.71,5589.386428571429,2960.6099999999997,19209.05,14.53,87.4125,10151.84,3365.610714285714,1482.9799999999998,12190.4,2.13,23.285,5964.2025,4.642857142857143,3.5,13.0,1.0,3.0,6.0,1.2142857142857142,1.0,3.0,1.0,1.0,1.0
37,Je reste avec toi.,A1,129.34,0,-2.91,8302.7875,3112.1949999999997,25983.2,1003.56,2140.515,9274.4675,4026.8250000000003,2397.095,10862.77,450.34,707.92,5716.0,8132.0075,3112.1949999999997,25983.2,320.44,1969.7350000000001,9274.4675,3.5,3.5,5.0,2.0,2.75,4.25,1.25,1.0,2.0,1.0,1.0,1.25
38,Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,C2,56.25,5,12.41,3692.955,615.565,14946.48,5.93,47.682500000000005,6690.030000000001,4609.346666666667,512.025,23633.92,2.97,35.64,5477.6675,3294.27,84.315,14946.48,2.0,23.990000000000002,6141.6325,4.611111111111111,4.0,12.0,1.0,2.25,6.0,1.7222222222222223,1.0,4.0,1.0,1.0,2.0
39,Tu mangeas les petits fruits dès que tu les eus cueillis,C2,107.52,0,5.78,6019.01909090909,4100.9,14661.76,13.84,305.77,11146.39,4211.6909090909085,2537.03,14662.3,25.81,277.84000000000003,4871.219999999999,4580.662727272727,143.72,14661.76,0.1,17.384999999999998,8720.38,4.181818181818182,3.0,8.0,2.0,3.0,6.0,1.2727272727272727,1.0,2.0,1.0,1.0,1.5
40,"Ben, on est tous débordés quoi.",A1,105.23,1,2.37,7461.9766666666665,1935.8899999999999,32236.5,15.75,276.83,7176.987499999999,3921.8466666666664,1775.71,15085.47,24.19,118.7325,4421.6225,4980.494999999999,907.255,19417.69,2.94,272.1025,6667.3975,4.0,3.5,8.0,2.0,3.0,4.0,1.3333333333333333,1.0,3.0,1.0,1.0,1.0
41,"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2,111.83,0,2.83,5157.666428571429,2726.675,18559.22,12.25,283.8325,10230.362500000001,6037.892142857142,2322.335,20879.73,3.92,361.96000000000004,11674.627499999999,4242.975714285715,2677.78,12909.08,11.07,236.5075,5927.83,3.0714285714285716,3.0,6.0,1.0,2.0,4.0,1.1428571428571428,1.0,2.0,1.0,1.0,1.0
42,J'ai été en forme toute la matinée.,A2,104.22,1,2.44,7998.9171428571435,2948.75,32236.5,12.51,79.25,10318.08,7262.422857142856,3171.35,23633.92,2.91,105.37,11909.02,3182.598571428571,441.79,14946.48,12.1,73.46000000000001,3365.4500000000003,3.5714285714285716,3.0,7.0,1.0,2.0,5.0,1.4285714285714286,1.0,3.0,1.0,1.0,1.5
43,"L'ordinateur peut aussi répondre à des interruptions qui lui permettent d'exécuter des programmes de réponses spécifiques à chacune, puis de reprendre l'exécution séquentielle du programme interrompu.",C2,33.41,7,20.95,4128.546153846154,212.215,25220.86,0.13,50.5025,5522.4825,6256.733461538462,403.45,38928.92,0.0,26.49,7662.969999999999,3932.5269230769222,78.26,25220.86,0.11,13.6175,5107.41,5.5,4.0,13.0,1.0,2.0,9.0,1.6923076923076923,1.0,4.0,1.0,1.0,2.0
44,Il a plu et j'ai attendu l'autobus.,A2,82.14,2,1.57,6607.49,1351.46,18559.22,64.31,72.715,13066.005000000001,7181.891428571429,706.69,20879.73,2.91,25.505000000000003,14316.45,4670.4971428571425,78.26,13222.93,29.54,51.38,9629.994999999999,2.4285714285714284,2.0,7.0,1.0,1.0,2.5,1.2857142857142858,1.0,3.0,1.0,1.0,1.0
45,"Dans d'autres cas il s'agit de limites relatives, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.",C2,50.42,6,14.34,4973.144,64.47,25220.86,0.18,17.0325,4592.6175,7326.711333333335,88.445,38928.92,0.54,11.32,7942.6,4969.211333333334,63.31,25220.86,0.0,6.8875,4592.6175,4.866666666666666,4.0,13.0,1.0,2.0,7.75,1.6333333333333333,1.0,4.0,1.0,1.0,2.0
46,C'est bien !,A1,131.37,0,-7.41,2110.995,2110.995,4213.78,8.21,1059.6025,3162.3875,1269.935,1269.935,2535.14,4.73,637.3325,1902.5375,2110.995,2110.995,4213.78,8.21,1059.6025,3162.3875,2.5,2.5,4.0,1.0,1.75,3.25,1.0,1.0,1.0,1.0,1.0,1.0
47,"En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.",B2,81.38,2,9.97,5465.081538461537,478.75,25220.86,1.18,28.36,6055.71,6754.896923076924,718.18,38928.92,1.22,3.92,10624.93,3651.0776923076924,478.75,25220.86,0.83,5.77,5689.68,4.538461538461538,3.0,11.0,1.0,2.0,7.0,1.4615384615384615,1.0,3.0,1.0,1.0,2.0
48,Les médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par rapport aux dons de sang.,C1,77.32,3,13.58,4862.959444444444,570.2,25220.86,5.87,85.19500000000001,8054.2125,5531.685555555556,1062.465,38928.92,6.76,85.6425,7153.8325,4851.943888888889,569.975,25220.86,0.0,37.605000000000004,8054.2125,4.888888888888889,4.0,13.0,2.0,3.0,6.25,1.4444444444444444,1.0,4.0,1.0,1.0,1.75
49,Le plus inquiétant c'est que la Scandinavie avait déjà battu des records de chaleur pendant l'été 2018,A2,71.99,2,11.08,5862.526666666666,681.89,25220.86,5.72,58.69500000000001,9854.235,7607.7626666666665,702.23,38928.92,3.92,68.55,11712.869999999999,4587.720666666665,395.71,25220.86,3.2,31.450000000000003,5059.08,4.2,4.0,10.0,1.0,2.0,6.0,1.5333333333333334,1.0,3.0,1.0,1.0,2.0
50,J'aime le ski.,A1,130.36,0,-6.26,4577.88,64.31,13652.76,16.57,40.44,6858.535,6106.783333333334,6.49,18310.95,2.91,4.7,9158.720000000001,4576.97,64.31,13652.76,13.84,39.075,6858.535,2.0,2.0,3.0,1.0,1.5,2.5,1.0,1.0,1.0,1.0,1.0,1.0
51,"""Malheureusement, il semble désormais évident qu'il n'y a pas de voie pour obtenir une confirmation"", a écrit Neera Tanden à Joe Biden en retirant sa candidature",B2,55.49,6,12.02,5854.535909090909,267.58500000000004,25220.86,2.71,36.295,11119.7625,6270.260454545453,457.33000000000004,38928.92,1.55,42.9375,9389.762499999999,4725.461363636363,128.63,25220.86,0.38,30.4,6896.64,4.909090909090909,3.5,15.0,1.0,2.0,7.0,1.8636363636363635,1.0,5.0,1.0,1.0,3.0
52,Pourquoi l'oisillon se retrouve-t-il seul dans la forêt ?,A1,66.4,1,13.01,3762.8300000000004,773.6,14946.48,30.96,132.4875,4197.385,5610.129,665.745,23633.92,3.92,159.39249999999998,7869.0025000000005,3695.904,558.475,14946.48,29.57,65.72,4197.385,3.7,3.0,8.0,1.0,2.0,4.75,1.3,1.0,2.0,1.0,1.0,1.75
53,Elle est née quel jour ?,A1,128.33,0,-0.85,7718.553999999999,1061.92,32236.5,116.11,657.71,4520.53,4760.6759999999995,1341.76,15085.47,119.32,265.34,6991.49,5050.956,657.71,19417.69,23.63,635.22,4520.53,3.6,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
54,"Il existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l'humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs",C2,45.34,7,14.57,4456.413055555556,618.585,25220.86,5.75,70.0325,7285.875,5990.446388888889,1461.625,38928.92,3.92,75.3725,8946.42,4094.6413888888887,257.635,25220.86,0.26,16.7675,6311.42,5.166666666666667,4.5,13.0,1.0,2.75,7.0,1.6666666666666667,1.0,5.0,1.0,1.0,2.0
55,Une bouchée de : cette expression fait référence à la quantité d'un aliment qu'on met dans la bouche en une fois.,B1,83.66,3,8.53,5315.2525,1453.55,25220.86,4.67,21.3575,8134.2575,7594.649,1730.34,38928.92,1.55,17.115,9587.97,4965.7119999999995,1400.76,25220.86,1.11,20.9775,7907.85,4.25,3.5,10.0,1.0,2.0,6.25,1.45,1.0,3.0,1.0,1.0,1.25
56,"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.",B2,49.91,5,15.54,3785.1276470588236,1335.49,14661.76,3.59,65.41,4062.45,3138.427058823529,933.99,19209.05,12.43,37.03,2537.03,3702.2247058823527,1222.51,14661.76,1.49,26.85,4062.45,5.705882352941177,4.0,12.0,1.0,3.0,10.0,1.8823529411764706,1.0,4.0,1.0,1.0,3.0
57,"Aussitôt que Julie eut découvert la vérité, elle fut furieuse",C2,64.37,3,10.82,7748.12,4100.9,32236.5,13.52,124.2,13572.4,6225.211111111111,3315.95,23633.92,44.59,189.93,6991.49,2569.2011111111115,55.88,14946.48,6.95,13.52,3330.88,5.111111111111111,4.0,9.0,2.0,3.0,8.0,1.7777777777777777,1.0,3.0,1.0,1.0,3.0
58,Pile au moment où on a le plus besoin de réconfort,A2,92.8,1,2.65,7020.688181818183,3737.75,25220.86,4.75,602.415,11119.58,8025.2645454545445,4838.38,38928.92,6.42,477.43,9061.654999999999,5849.071818181817,3737.75,25220.86,4.71,580.645,7468.655,3.6363636363636362,2.0,9.0,1.0,2.0,5.0,1.3636363636363635,1.0,3.0,1.0,1.0,1.5
59,"Le train, en son temps, était également craint. Brigitte Munier Les robots suscitent l'enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de les concevoir comme de simples outils ou, à la manière japonaise, tels d'amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.",C1,66.91,7,15.14,4299.579523809523,269.55,32236.5,0.34,25.215,5562.0225,5751.258095238095,358.075,38928.92,0.2,30.325,7880.0525,3577.333095238095,260.965,25220.86,0.05,13.2525,4818.725,5.071428571428571,4.5,12.0,1.0,3.0,7.0,1.619047619047619,1.0,4.0,1.0,1.0,2.0
60,Je viens d'emménager dans ma nouvelle maison.,A2,74.78,1,10.74,5229.155714285715,2346.9,25983.2,54.68,398.45,3711.205,3298.7642857142855,1514.53,10862.77,2.97,373.92,4981.62,4958.751428571429,944.81,25983.2,54.68,361.53999999999996,3502.745,4.0,4.0,8.0,1.0,2.0,5.5,1.2857142857142858,1.0,2.0,1.0,1.0,1.5
61,"Et cette année, ça défile !",B1,98.89,0,1.48,4814.416,1902.27,12909.08,10.82,316.25,8933.66,5217.246,2320.68,20879.73,32.64,375.54,2477.64,4775.462,1902.27,12909.08,2.66,129.64,8933.66,4.0,5.0,6.0,2.0,2.0,5.0,1.4,1.0,2.0,1.0,1.0,2.0
62,"Compte tenu de cette configuration, cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres ; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu'un tel résultat est un artéfact dû à la coupure artificielle d'une seule tache de prairie.",C1,33.42,8,12.72,5828.066181818181,894.78,32236.5,0.03,21.555,8247.125,6358.591090909091,915.27,38928.92,0.0,21.285,10106.45,5021.4259999999995,349.74,25220.86,0.0,9.235,8247.125,4.927272727272728,4.0,13.0,1.0,3.0,7.0,1.6,1.0,5.0,1.0,1.0,2.0
